"segmentid","street","direction","count_mm"
"17080","4 AVENUE","SB","1440"
"17197","4 AVENUE","SB","672"
"17341","11 AVENUE","NB","382"
"17635","4 AVENUE","NB","672"
"17637","4 AVENUE","SB","672"
"17653","SENATOR STREET","EB","378"
"17712","5 AVENUE","NB","382"
"17715","5 AVENUE","SB","384"
"17724","4 AVENUE","NB","672"
"17737","65 STREET","EB","864"
"17790","3 AVENUE","SB","1344"
"18704","CROPSEY AVENUE","NB","672"
"18717","BATH AVENUE","EB","385"
"18719","BATH AVENUE","WB","384"
"18782","HARWAY AVENUE","NB","672"
"18801","BAY 28 STREET","SB","384"
"18806","86 STREET","EB","379"
"18807","BAY 29 STREET","NB","378"
"18808","86 STREET","WB","378"
"18852","SHORE PARKWAY","NB","864"
"18891","BAY 37 STREET","SB","672"
"19246","QUENTIN ROAD","EB","672"
"19248","KINGS HIGHWAY","EB","672"
"19250","KINGS HIGHWAY","WB","672"
"19251","QUENTIN ROAD","WB","672"
"19260","STILLWELL AVENUE BRIDGE","NB","1537"
"19260","STILLWELL AVENUE BRIDGE","SB","1538"
"19418","11 AVENUE","NB","381"
"19418","11 AVENUE","SB","380"
"19421","11 AVENUE","SB","381"
"19475","16 AVENUE","NB","380"
"19476","BENSON AVENUE","WB","382"
"19484","BENSON AVENUE","EB","381"
"19550","BAY RIDGE AVENUE","EB","864"
"19550","BAY RIDGE AVENUE","WB","864"
"19555","FT HAMILTON PARKWAY","EB","864"
"19555","FT HAMILTON PARKWAY","WB","864"
"19595","16 AVENUE","SB","379"
"19870","NEW UTRECHT AVENUE","NB","864"
"19870","NEW UTRECHT AVENUE","SB","864"
"19978","BAY RIDGE PARKWAY","EB","864"
"19978","BAY RIDGE PARKWAY","WB","864"
"20149","BAY RIDGE AVENUE","EB","864"
"20215","BAY PARKWAY","NB","672"
"20217","BAY PARKWAY","SB","672"
"20263","19 AVENUE","NB","24"
"20263","19 AVENUE","SB","24"
"20303","56 STREET","EB","758"
"20336","WEST 10 STREET","SB","672"
"20379","64 STREET","NB","24"
"20379","64 STREET","SB","24"
"20403","18 AVENUE","NB","760"
"20404","18 AVENUE","SB","762"
"21290","6 AVENUE","NB","672"
"21521","19 STREET","EB","1348"
"21665","IMLAY STREET","NB","768"
"21669","VAN BRUNT STREET","NB","768"
"21669","VAN BRUNT STREET","SB","768"
"22025","3 AVENUE","NB","864"
"22026","3 AVENUE","SB","864"
"22033","3 AVENUE","NB","864"
"22036","3 AVENUE","SB","864"
"22096","HAMILTON AVENUE","NB","1428"
"22139","HAMILTON AVENUE BRIDGE","NB","914"
"22166","COURT STREET","SB","1344"
"22259","3 AVENUE","SB","906"
"22260","3 AVENUE","NB","904"
"22263","3 AVENUE","SB","672"
"22315","HAMILTON AVENUE","NB","914"
"22341","9 STREET BRIDGE","EB","1433"
"22341","9 STREET BRIDGE","WB","1434"
"22373","SMITH STREET","NB","680"
"22374","5 STREET","WB","678"
"22407","COURT STREET","SB","672"
"22412","DOUGLASS STREET","WB","383"
"22413","COURT STREET","SB","382"
"22437","5 AVENUE","NB","672"
"22438","5 AVENUE","SB","672"
"22514","3 STREET BRIDGE","EB","2870"
"22514","3 STREET BRIDGE","WB","2872"
"22534","UNION STREET","EB","864"
"22563","6 AVENUE","SB","672"
"22638","CARROLL ST BRIDGE","EB","2872"
"22652","UNION ST BRIDGE","EB","2892"
"22662","BOND STREET","NB","672"
"22703","SMITH STREET","NB","672"
"22719","7 AVENUE","NB","386"
"22720","WINDSOR PLACE","WB","383"
"22721","7 AVENUE","SB","384"
"22725","8 AVENUE","NB","372"
"22726","WINDSOR PLACE","WB","373"
"22737","6 AVENUE","NB","672"
"22737","6 AVENUE","SB","672"
"22822","BOND STREET","NB","672"
"22855","7 AVENUE","SB","4129"
"22879","6 AVENUE","NB","672"
"22879","6 AVENUE","SB","672"
"22924","ATLANTIC AVENUE","EB","768"
"22938","FLATBUSH AVENUE","NB","768"
"22938","FLATBUSH AVENUE","SB","768"
"23386","CENTRE STREET","WB","672"
"23580","CENTRE STREET","NB","864"
"23979","COURT STREET","SB","672"
"24006","CLINTON STREET","NB","672"
"24149","PIKE STREET","NB","960"
"24168","RUTGERS STREET","NB","960"
"24187","HOYT STREET","SB","672"
"24202","SMITH STREET","NB","1344"
"24202","SMITH STREET","SB","1344"
"24216","JAY STREET","NB","672"
"24216","JAY STREET","SB","672"
"24258","HIGH STREET","EB","1344"
"24275","JAY STREET","NB","1344"
"24275","JAY STREET","SB","1344"
"24375","CLINTON STREET","NB","960"
"24541","MONTGOMERY STREET","NB","960"
"24893","BRIGHTON BEACH AVENUE","EB","672"
"24896","BRIGHTON BEACH AVENUE","WB","672"
"25222","KINGS HIGHWAY","EB","672"
"25225","MC DONALD AVENUE","NB","672"
"25226","KINGS HIGHWAY","WB","672"
"25227","MC DONALD AVENUE","SB","672"
"25297","AVENUE U","EB","375"
"25303","AVENUE U","WB","376"
"25316","EAST 2 STREET","SB","373"
"25422","OCEAN PARKWAY","NB","672"
"25422","OCEAN PARKWAY","SB","672"
"25480","OCEAN PARKWAY","NB","672"
"25480","OCEAN PARKWAY","SB","672"
"25616","OCEAN PARKWAY","NB","672"
"25616","OCEAN PARKWAY","SB","672"
"25674","OCEAN VIEW AVENUE","EB","942"
"25677","CONEY ISLAND AVENUE","SB","672"
"25681","CONEY ISLAND AVENUE","NB","942"
"25682","OCEAN VIEW AVENUE","WB","961"
"25683","CONEY ISLAND AVENUE","SB","938"
"25885","CORBIN PLACE","NB","384"
"26073","BAY COURT","EB","864"
"26168","AVENUE S","EB","383"
"26170","AVENUE S","WB","382"
"26330","SHORE BOULEVARD","EB","864"
"26330","SHORE BOULEVARD","WB","864"
"26410","AVENUE X","EB","296"
"26411","EAST 27 STREET","NB","297"
"26412","AVENUE X","WB","296"
"26599","DAHILL ROAD","NB","752"
"26600","AVENUE O","EB","381"
"26600","AVENUE O","WB","756"
"26613","DAHILL ROAD","SB","755"
